CAST|COUNTRY|DATE_ADDED|DESCRIPTION|DIRECTOR|DURATION|LISTED_IN|RATING|RELEASE_YEAR|SHOW_ID|TITLE|TYPE
Alan Marriott, Andrew Toth, Brian Dobson, Cole Howard, Jennifer Cameron, Jonathan Holmes, Lee Tockar, Lisa Durupt, Maya Kay, Michael Dobson|United States, India, South Korea, China|September 9, 2019|Before planning an awesome wedding for his grandfather, a polar bear king must take back a stolen artifact from an evil archaeologist first.|Richard Finn, Tim Maltby|90 min|Children & Family Movies, Comedies|TV-PG|2019|81145628|Norm of the North: King Sized Adventure|Movie
Jandino Asporaat|United Kingdom|September 9, 2016|Jandino Asporaat riffs on the challenges of raising kids and serenades the audience with a rousing rendition of ""Sex on Fire"" in his comedy show.||94 min|Stand-Up Comedy|TV-MA|2016|80117401|Jandino: Whatever it Takes|Movie
Peter Cullen, Sumalee Montano, Frank Welker, Jeffrey Combs, Kevin Michael Richardson, Tania Gunadi, Josh Keaton, Steve Blum, Andy Pessoa, Ernie Hudson, Daran Norris, Will Friedle|United States|September 8, 2018|With the help of three human allies, the Autobots once again protect Earth from the onslaught of the Decepticons and their leader, Megatron.||1 Season|Kids' TV|TV-Y7-FV|2013|70234439|Transformers Prime|TV Show
Will Friedle, Darren Criss, Constance Zimmer, Khary Payton, Mitchell Whitfield, Stuart Allan, Ted McGinley, Peter Cullen|United States|September 8, 2018|When a prison ship crash unleashes hundreds of Decepticons on Earth, Bumblebee leads a new Autobot force to protect humankind.||1 Season|Kids' TV|TV-Y7|2016|80058654|Transformers: Robots in Disguise|TV Show
Nesta Cooper, Kate Walsh, John Michael Higgins, Keith Powers, Alicia Sanz, Jake Borelli, Kid Ink, Yousef Erakat, Rebekah Graf, Anne Winters, Peter Gilroy, Patrick Davis|United States|September 8, 2017|When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.|Fernando Lebrija|99 min|Comedies|TV-14|2017|80125979|#realityhigh|Movie
Alberto Ammann, Eloy AzorÃ­n, VerÃ³nica Echegui, LucÃ­a JimÃ©nez, Claudia Traisac|Spain|September 8, 2017|A young journalist is forced into a life of crime to save his father and family in this series based on the novel by Miguel SÃ¡ez Carral.||1 Season|Crime TV Shows, International TV Shows, Spanish-Language TV Shows|TV-MA|2016|80163890|Apaches|TV Show
Antonio Banderas, Dylan McDermott, Melanie Griffith, Birgitte Hjort SÃ¸rensen, Robert Forster, Christa Campbell, Tim McInnerny, Andy Nyman, David Ryall|Bulgaria, United States, Spain, Canada|September 8, 2017|In a dystopian future, an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy.|Gabe IbÃ¡Ã±ez|110 min|International Movies, Sci-Fi & Fantasy, Thrillers|R|2014|70304989|Automata|Movie
Fabrizio Copano|Chile|September 8, 2017|Fabrizio Copano takes audience participation to the next level in this stand-up set while reflecting on sperm banks, family WhatsApp groups and more.|Rodrigo Toro, Francisco Schultz|60 min|Stand-Up Comedy|TV-MA|2017|80164077|Fabrizio Copano: Solo pienso en mi|Movie
|United States|September 8, 2017|As California's 2016 fire season rages, brave backcountry firefighters race to put out the flames, protect homes and save lives in this docuseries.||1 Season|Docuseries, Science & Nature TV|TV-MA|2017|80117902|Fire Chasers|TV Show
James Franco, Kate Hudson, Tom Wilkinson, Omar Sy, Sam Spruell, Anna Friel, Thomas Arnold, Oliver Dimsdale, Diana Hardcastle, Michael Jibson, Diarmaid Murtagh|United States, United Kingdom, Denmark, Sweden|September 8, 2017|A struggling couple can't believe their luck when they find a stash of money in the apartment of a neighbor who was recently murdered.|Henrik Ruben Genz|90 min|Action & Adventure, Thrillers|R|2014|70304990|Good People|Movie
